category,name,link,image,price,isBestSeller,
key,Bàn phím Gaming Custom ASUS ROG Azoth,https://s.shopee.vn/LSqw4ox35,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lxdvsq84f36jb9,6tr,(GAMING),
key,Bàn Phím Razer BlackWidow V3 Tenkeyless,https://s.shopee.vn/6V3UHmiaCH,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lq0bs6az1ph3a3,1tr6,( GAMING ),
key,XinMeng M87 và M98 tại,https://s.shopee.vn/5Kr6xpW28y,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lngneir3ijjue7,900k,(bestseller),
key,XinMeng M87 giá rẻ 3 Mode / Mạch xuôi / Led RGB / Hotswap,https://shope.ee/9A1Yf4LHDZ,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lw3k79v7ag2h9f,700k,(bestseller),
key,Bàn phím cơ không dây XinMeng M75 - Mạch xuôi - Switch Black Plum - Màn Hình Custom - Có Led Viền,https://s.shopee.vn/7fF1koeqDh,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ltdlroi5mkzo3e,900k,(bestseller),
key,Hàng Chính Hãng Rainy 75 - Bàn phím cơ RAINY75 Kết Nối 3 Mode Full Nhôm Led RGB BH 12 Tháng,https://shope.ee/8pO4TxIUGm,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lp7z6w52uz4ef1,2tr,(bestseller),
key,Bàn phím cơ Gamming Aukey KM-G12 full size giá rẻ,https://s.shopee.vn/AKGCpctGdB,https://down-vn.img.susercontent.com/file/vn-11134201-23020-zm7zuis0o1nv9d,350k,,
key,Bàn phím cơ Lofree Flow 84 keys và 100 keys nhôm CNC,https://s.shopee.vn/5fUNGhbWDU,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lwr2e95zhvx573,2tr7,,
key,Bàn Phím Cơ Gaming - AKKO MOD007 v3 HE Year Of Dragon,https://s.shopee.vn/5VAx3rC1Vn,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lwsd9gn8mgnv90,4tr,,
key,"Bàn phím cơ không dây Furycube F75s | furycube f75s 3mode, vỏ nhôm cnc , led rgb, mạch xuôi, gasket mount",https://s.shopee.vn/50EgTB8HQj,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lwoa9a69gc7t76,1tr900k,,
key,Aula f75 giá rẻ  3 mode led RGB hotswap,https://s.shopee.vn/B9QhgFhVA,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lvz9amyjofyzde,800k,(bestseller),
,Aula F75  tại,https://s.shopee.vn/qOhbV6Ang,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ln304g5yiuk3ff,1tr,(bestseller),
key,Aula F75 hàng shopee mall,https://shope.ee/g30XozsIx,https://down-vn.img.susercontent.com/file/cn-11134207-7r98o-lv08tp4pcix947,1tr,(bestseller),
key,Phím cơ giá rẻ,https://shope.ee/9UeP4SdwO9,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lnb7ccqj2bql1b,300k,(bestseller),
key,Monka 3067,https://s.shopee.vn/4puqN3H293,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lngneir3a456e5,800k,(bestseller),
key,MONKA 3075 pro ver 2 - 3 mode kết nối - Mạch xuôi - Led RGB- có màn LED Custom,https://shope.ee/6fJXd5rB9e,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lodi6s8t4s1f61,1tr250,(bestseller),
key,ZA63 Pro -Trục cơ Linear Hotswap 5 Pin - Pin sạc - LEG RGB cả phím và body - APP riêng,https://shope.ee/9pGT5TStNF,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lowwy097bpej7c,550k,(bestseller),
key,K68BT Trục Cơ Red Switch Gõ Cực Đã Có Hotswap,https://shope.ee/7zowf5eJ1J,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lvv66wy32l0b7f,429k,(bestseller),
key,XinMeng M71 Ver 2 khung nhôm CNC 3 modes mạch xuôi gasket mount hotswap led rgb bảo hành 6 tháng,https://shope.ee/8KRn4cG0nA,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lmhcqapsd04fba,1tr350,(bestseller),
key,Phím Cơ Gaming K3 Red Switch Full Size Red Switch,https://shope.ee/5KoKNSSFim,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lmzgv9las15r02,470k,(bestseller),
key,AkkoMG108B  3mode,https://shope.ee/9UdkSlBZQJ,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lqxnw34m1zmhfd,1tr2,,
key, Bàn phím cơ CMK75 Chính Hãng có màn hình,https://shope.ee/9za13g9fPS,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ln9lqvsbc8y2c1,1tr7,,
